epoch,grad_norm,learning_rate,loss,step,checkpoint,eval_accuracy,eval_f1_macro,eval_loss,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.05,3.162224531173706,1.9673333333333337e-05,1.6002,50,checkpoint-1000,,,,,,,,
0.1,5.4260687828063965,1.934e-05,1.1962,100,checkpoint-1000,,,,,,,,
0.15,7.099605560302734,1.900666666666667e-05,0.9752,150,checkpoint-1000,,,,,,,,
0.2,7.227221488952637,1.8673333333333333e-05,0.7497,200,checkpoint-1000,,,,,,,,
0.25,5.5557861328125,1.834e-05,0.6127,250,checkpoint-1000,,,,,,,,
0.3,4.014227390289307,1.8006666666666668e-05,0.4587,300,checkpoint-1000,,,,,,,,
0.35,5.907668590545654,1.7673333333333336e-05,0.4407,350,checkpoint-1000,,,,,,,,
0.4,38.93029022216797,1.734e-05,0.3867,400,checkpoint-1000,,,,,,,,
0.45,10.28001594543457,1.7006666666666668e-05,0.329,450,checkpoint-1000,,,,,,,,
0.5,2.397721290588379,1.6673333333333335e-05,0.2907,500,checkpoint-1000,,,,,,,,
0.55,0.6118423938751221,1.634e-05,0.3055,550,checkpoint-1000,,,,,,,,
0.6,2.6802544593811035,1.6006666666666667e-05,0.2492,600,checkpoint-1000,,,,,,,,
0.65,6.861159801483154,1.5673333333333335e-05,0.3272,650,checkpoint-1000,,,,,,,,
0.7,6.1609272956848145,1.5340000000000002e-05,0.2024,700,checkpoint-1000,,,,,,,,
0.75,35.834598541259766,1.5006666666666666e-05,0.2339,750,checkpoint-1000,,,,,,,,
0.8,5.378053665161133,1.4673333333333336e-05,0.2278,800,checkpoint-1000,,,,,,,,
0.85,5.138122081756592,1.434e-05,0.2885,850,checkpoint-1000,,,,,,,,
0.9,43.95888137817383,1.400666666666667e-05,0.1949,900,checkpoint-1000,,,,,,,,
0.95,15.755847930908203,1.3673333333333333e-05,0.2253,950,checkpoint-1000,,,,,,,,
1.0,1.2420555353164673,1.3340000000000001e-05,0.2389,1000,checkpoint-1000,,,,,,,,
1.0,,,,1000,checkpoint-1000,0.929,0.9033270683171896,0.1978410929441452,0.8969831102086775,0.9118568139148692,502.1648,3.983,0.249
0.4,4.326766014099121,1.7386666666666667e-05,1.6261,50,checkpoint-125,,,,,,,,
0.8,7.0041351318359375,1.4720000000000001e-05,1.3316,100,checkpoint-125,,,,,,,,
1.0,,,,125,checkpoint-125,0.592,0.25897468233762705,1.0835888385772705,0.36629527032908515,0.32074810606060605,255.3795,7.831,0.489
1.0,,,,1,checkpoint-1,0.3333333333333333,0.16666666666666666,1.103974461555481,0.1111111111111111,0.3333333333333333,3.5851,0.837,0.279
0.4,4.326766014099121,1.7386666666666667e-05,1.6261,50,checkpoint-250,,,,,,,,
0.8,7.0041351318359375,1.4720000000000001e-05,1.3316,100,checkpoint-250,,,,,,,,
1.0,,,,125,checkpoint-250,0.592,0.25897468233762705,1.0835888385772705,0.36629527032908515,0.32074810606060605,255.3795,7.831,0.489
1.2,4.415815830230713,1.2053333333333335e-05,1.0891,150,checkpoint-250,,,,,,,,
1.6,7.6121134757995605,9.386666666666668e-06,0.9383,200,checkpoint-250,,,,,,,,
2.0,5.577922344207764,6.720000000000001e-06,0.7613,250,checkpoint-250,,,,,,,,
2.0,,,,250,checkpoint-250,0.757,0.5396380865239886,0.7145462036132812,0.6773381228522949,0.550582823009617,338.7235,5.905,0.369
1.0,,,,1,checkpoint-2,0.3333333333333333,0.16666666666666666,1.103974461555481,0.1111111111111111,0.3333333333333333,3.5851,0.837,0.279
2.0,,,,2,checkpoint-2,0.3333333333333333,0.16666666666666666,1.1025675535202026,0.1111111111111111,0.3333333333333333,1.9464,1.541,0.514
0.4,4.326766014099121,1.7386666666666667e-05,1.6261,50,checkpoint-375,,,,,,,,
0.8,7.0041351318359375,1.4720000000000001e-05,1.3316,100,checkpoint-375,,,,,,,,
1.0,,,,125,checkpoint-375,0.592,0.25897468233762705,1.0835888385772705,0.36629527032908515,0.32074810606060605,255.3795,7.831,0.489
1.2,4.415815830230713,1.2053333333333335e-05,1.0891,150,checkpoint-375,,,,,,,,
1.6,7.6121134757995605,9.386666666666668e-06,0.9383,200,checkpoint-375,,,,,,,,
2.0,5.577922344207764,6.720000000000001e-06,0.7613,250,checkpoint-375,,,,,,,,
2.0,,,,250,checkpoint-375,0.757,0.5396380865239886,0.7145462036132812,0.6773381228522949,0.550582823009617,338.7235,5.905,0.369
2.4,4.290887832641602,4.053333333333333e-06,0.6279,300,checkpoint-375,,,,,,,,
2.8,6.758537769317627,1.3866666666666668e-06,0.5497,350,checkpoint-375,,,,,,,,
3.0,,,,375,checkpoint-375,0.804,0.6460268043404535,0.6047390103340149,0.8142546536474664,0.6329265318049091,241.3644,8.286,0.518
1.0,,,,1,checkpoint-3,0.3333333333333333,0.16666666666666666,1.103974461555481,0.1111111111111111,0.3333333333333333,3.5851,0.837,0.279
2.0,,,,2,checkpoint-3,0.3333333333333333,0.16666666666666666,1.1025675535202026,0.1111111111111111,0.3333333333333333,1.9464,1.541,0.514
3.0,,,,3,checkpoint-3,0.3333333333333333,0.16666666666666666,1.101469874382019,0.1111111111111111,0.3333333333333333,1.0363,2.895,0.965
